# w/T rho/wT^3(C=1) err_low err_up rho/wT^3(C=5) err_low err_up
4.738739430166879932e-04 2.312586067871013285e+00 7.171777652079818210e-01 6.691405806313919236e-01 8.888946729869683372e-01 2.765213634157168698e-01 2.527987015514573388e-01
4.826272098605194371e-04 2.312586048508868064e+00 7.171777592034054294e-01 6.691405750290075893e-01 8.888946726892770211e-01 2.765213633231097257e-01 2.527987014667951726e-01
4.915421645995568349e-04 2.312586028424812756e+00 7.171777529749505664e-01 6.691405692177396780e-01 8.888946723804868055e-01 2.765213632270498989e-01 2.527987013789759763e-01
5.006217938873459752e-04 2.312586007591930670e+00 7.171777465142701313e-01 6.691405631898010853e-01 8.888946720601830220e-01 2.765213631274082706e-01 2.527987012878828432e-01
5.098691395460609385e-04 2.312585985982302805e+00 7.171777398127057168e-01 6.691405569371133844e-01 8.888946717279369025e-01 2.765213630240517251e-01 2.527987011933929828e-01
5.192872995855631751e-04 2.312585963566967440e+00 7.171777328612756186e-01 6.691405504512961677e-01 8.888946713833032476e-01 2.765213629168414844e-01 2.527987010953804958e-01
5.288794292412868315e-04 2.312585940315885047e+00 7.171777256506639553e-01 6.691405437236581655e-01 8.888946710258200934e-01 2.765213628056339967e-01 2.527987009937133767e-01
5.386487420312903321e-04 2.312585916197894775e+00 7.171777181712077898e-01 6.691405367451821462e-01 8.888946706550082677e-01 2.765213626902802702e-01 2.527987008882555120e-01
5.485985108328383453e-04 2.312585891180674480e+00 7.171777104128826963e-01 6.691405295065164793e-01 8.888946702703708347e-01 2.765213625706255396e-01 2.527987007788661256e-01
5.587320689788688845e-04 2.312585865230697202e+00 7.171777023652925465e-01 6.691405219979591479e-01 8.888946698713922068e-01 2.765213624465094888e-01 2.527987006653980018e-01
5.690528113747128722e-04 2.312585838313183650e+00 7.171776940176495252e-01 6.691405142094493108e-01 8.888946694575378116e-01 2.765213623177656954e-01 2.527987005476993732e-01
5.795641956354421684e-04 2.312585810392061347e+00 7.171776853587679135e-01 6.691405061305477631e-01 8.888946690282530927e-01 2.765213621842219638e-01 2.527987004256120329e-01
5.902697432442266176e-04 2.312585781429910892e+00 7.171776763770441043e-01 6.691404977504267215e-01 8.888946685829625105e-01 2.765213620456988819e-01 2.527987002989727783e-01
6.011730407320875014e-04 2.312585751387917110e+00 7.171776670604392834e-01 6.691404890578565023e-01 8.888946681210695422e-01 2.765213619020110425e-01 2.527987001676123002e-01
6.122777408794434538e-04 2.312585720225819319e+00 7.171776573964687707e-01 6.691404800411868692e-01 8.888946676419553494e-01 2.765213617529662660e-01 2.527987000313534072e-01
6.235875639398502125e-04 2.312585687901854925e+00 7.171776473721809264e-01 6.691404706883345987e-01 8.888946671449771131e-01 2.765213615983638240e-01 2.527986998900142446e-01
6.351062988863465271e-04 2.312585654372703914e+00 7.171776369741413859e-01 6.691404609867643849e-01 8.888946666294694765e-01 2.765213614379976592e-01 2.527986997434057415e-01
6.468378046808202818e-04 2.312585619593431119e+00 7.171776261884144077e-01 6.691404509234759601e-01 8.888946660947411038e-01 2.765213612716517222e-01 2.527986995913308332e-01
6.587860115668232007e-04 2.312585583517427157e+00 7.171776150005462203e-01 6.691404404849805587e-01 8.888946655400757901e-01 2.765213610991039683e-01 2.527986994335857940e-01
6.709549223862660812e-04 2.312585546096342703e+00 7.171776033955428176e-01 6.691404296572898147e-01 8.888946649647299081e-01 2.765213609201228051e-01 2.527986992699592372e-01
6.833486139204350681e-04 2.312585507280028096e+00 7.171775913578513073e-01 6.691404184258931132e-01 8.888946643679322968e-01 2.765213607344682023e-01 2.527986991002322270e-01
6.959712382557785857e-04 2.312585467016462726e+00 7.171775788713392608e-01 6.691404067757384944e-01 8.888946637488834845e-01 2.765213605418918030e-01 2.527986989241766125e-01
7.088270241749256061e-04 2.312585425251685756e+00 7.171775659192725083e-01 6.691403946912117817e-01 8.888946631067535797e-01 2.765213603421351474e-01 2.527986987415571374e-01
7.219202785733924623e-04 2.312585381929725070e+00 7.171775524842924909e-01 6.691403821561188181e-01 8.888946624406821595e-01 2.765213601349306716e-01 2.527986985521286645e-01
7.352553879024645777e-04 2.312585336992523111e+00 7.171775385483956100e-01 6.691403691536592646e-01 8.888946617497763825e-01 2.765213599200003758e-01 2.527986983556373968e-01
7.488368196387278856e-04 2.312585290379854719e+00 7.171775240929034734e-01 6.691403556664088370e-01 8.888946610331105447e-01 2.765213596970568233e-01 2.527986981518199894e-01
7.626691237807453096e-04 2.312585242029251198e+00 7.171775090984437995e-01 6.691403416762922163e-01 8.888946602897241922e-01 2.765213594658010310e-01 2.527986979404032164e-01
7.767569343733797494e-04 2.312585191875915491e+00 7.171774935449222177e-01 6.691403271645586237e-01 8.888946595186206778e-01 2.765213592259224695e-01 2.527986977211038599e-01
7.911049710602740138e-04 2.312585139852632476e+00 7.171774774114942907e-01 6.691403121117609487e-01 8.888946587187669390e-01 2.765213589771005065e-01 2.527986974936284881e-01
8.057180406650070329e-04 2.312585085889682812e+00 7.171774606765375371e-01 6.691402964977264389e-01 8.888946578890909445e-01 2.765213587190010758e-01 2.527986972576711233e-01
8.206010388014567435e-04 2.312585029914745682e+00 7.171774433176243413e-01 6.691402803015273903e-01 8.888946570284809168e-01 2.765213584512786760e-01 2.527986970129164623e-01
8.357589515139130475e-04 2.312584971852805982e+00 7.171774253114915343e-01 6.691402635014616074e-01 8.888946561357833342e-01 2.765213581735742610e-01 2.527986967590361012e-01
8.511968569474777412e-04 2.312584911626050399e+00 7.171774066340070863e-01 6.691402460750111025e-01 8.888946552098015985e-01 2.765213578855157950e-01 2.527986964956900895e-01
8.669199270493287536e-04 2.312584849153765276e+00 7.171773872601403532e-01 6.691402279988230006e-01 8.888946542492952574e-01 2.765213575867171425e-01 2.527986962225252654e-01
8.829334293014043464e-04 2.312584784352226919e+00 7.171773671639272152e-01 6.691402092486713471e-01 8.888946532529764522e-01 2.765213572767776240e-01 2.527986959391756994e-01
8.992427284850950222e-04 2.312584717134589685e+00 7.171773463184352160e-01 6.691401897994282422e-01 8.888946522195104727e-01 2.765213569552823492e-01 2.527986956452612510e-01
9.158532884785317539e-04 2.312584647410770966e+00 7.171773246957275916e-01 6.691401696250278697e-01 8.888946511475119827e-01 2.765213566218003294e-01 2.527986953403882353e-01
9.327706740870728109e-04 2.312584575087329064e+00 7.171773022668264108e-01 6.691401486984336344e-01 8.888946500355445757e-01 2.765213562758844779e-01 2.527986950241485342e-01
9.500005529076038140e-04 2.312584500067337956e+00 7.171772790016730514e-01 6.691401269916008587e-01 8.888946488821176661e-01 2.765213559170710544e-01 2.527986946961178205e-01
9.675486972272732446e-04 2.312584422250258065e+00 7.171772548690882321e-01 6.691401044754372585e-01 8.888946476856858236e-01 2.765213555448798877e-01 2.527986943558566679e-01
9.854209859573028699e-04 2.312584341531802146e+00 7.171772298367304899e-01 6.691400811197683041e-01 8.888946464446454421e-01 2.765213551588113772e-01 2.527986940029087748e-01
1.003623406602516342e-03 2.312584257803792287e+00 7.171772038710517716e-01 6.691400568932932558e-01 8.888946451573330743e-01 2.765213547583482701e-01 2.527986936368012971e-01
1.022162057267251341e-03 2.312584170954020468e+00 7.171771769372541350e-01 6.691400317635438633e-01 8.888946438220239887e-01 2.765213543429544396e-01 2.527986932570438494e-01
1.041043148698321845e-03 2.312584080866092240e+00 7.171771489992411208e-01 6.691400056968439536e-01 8.888946424369283950e-01 2.765213539120727759e-01 2.527986928631271724e-01
1.060273006365718531e-03 2.312583987419275289e+00 7.171771200195717899e-01 6.691399786582583609e-01 8.888946410001898890e-01 2.765213534651257410e-01 2.527986924545235770e-01
1.079858072581743296e-03 2.312583890488335570e+00 7.171770899594087645e-01 6.691399506115498497e-01 8.888946395098829001e-01 2.765213530015141474e-01 2.527986920306855012e-01
1.099804908659287803e-03 2.312583789943367663e+00 7.171770587784651596e-01 6.691399215191333738e-01 8.888946379640105810e-01 2.765213525206172696e-01 2.527986915910445109e-01
1.120120197109977702e-03 2.312583685649626020e+00 7.171770264349544011e-01 6.691398913420187888e-01 8.888946363605010337e-01 2.765213520217904009e-01 2.527986911350115218e-01
1.140810743882927176e-03 2.312583577467339779e+00 7.171769928855307175e-01 6.691398600397637786e-01 8.888946346972050883e-01 2.765213515043646320e-01 2.527986906619754670e-01
1.161883480644833235e-03 2.312583465251525361e+00 7.171769580852311865e-01 6.691398275704192322e-01 8.888946329718938610e-01 2.765213509676471837e-01 2.527986901713028534e-01
1.183345467102201462e-03 2.312583348851795950e+00 7.171769219874188916e-01 6.691397938904692921e-01 8.888946311822549795e-01 2.765213504109181875e-01 2.527986896623350965e-01
1.205203893366460412e-03 2.312583228112156331e+00 7.171768845437165307e-01 6.691397589547780633e-01 8.888946293258899178e-01 2.765213498334316844e-01 2.527986891343914078e-01
1.227466082362764369e-03 2.312583102870795937e+00 7.171768457039433553e-01 6.691397227165261086e-01 8.888946274003111103e-01 2.765213492344140711e-01 2.527986885867632427e-01
1.250139492283289808e-03 2.312582972959869476e+00 7.171768054160465589e-01 6.691396851271478319e-01 8.888946254029377325e-01 2.765213486130621012e-01 2.527986880187167440e-01
1.273231719085855850e-03 2.312582838205275770e+00 7.171767636260348855e-01 6.691396461362675296e-01 8.888946233310930367e-01 2.765213479685433295e-01 2.527986874294911868e-01
1.296750499038684451e-03 2.312582698426422390e+00 7.171767202779033568e-01 6.691396056916305568e-01 8.888946211820003551e-01 2.765213472999937805e-01 2.527986868182960922e-01
1.320703711312180275e-03 2.312582553435981403e+00 7.171766753135573325e-01 6.691395637390349371e-01 8.888946189527795472e-01 2.765213466065177261e-01 2.527986861843132260e-01
1.345099380618578313e-03 2.312582403039642465e+00 7.171766286727374595e-01 6.691395202222572003e-01 8.888946166404430027e-01 2.765213458871857988e-01 2.527986855266923794e-01
1.369945679900351964e-03 2.312582247035850358e+00 7.171765802929372935e-01 6.691394750829782190e-01 8.888946142418916452e-01 2.765213451410334367e-01 2.527986848445524792e-01
1.395250933068280848e-03 2.312582085215534544e+00 7.171765301093209199e-01 6.691394282607037169e-01 8.888946117539113789e-01 2.765213443670614391e-01 2.527986841369789239e-01
1.421023617790093813e-03 2.312581917361829387e+00 7.171764780546334705e-01 6.691393796926843329e-01 8.888946091731676491e-01 2.765213435642319695e-01 2.527986834030239160e-01
1.447272368330626080e-03 2.312581743249784605e+00 7.171764240591134154e-01 6.691393293138303555e-01 8.888946064962017779e-01 2.765213427314693329e-01 2.527986826417036870e-01
1.474005978444435953e-03 2.312581562646061073e+00 7.171763680503984162e-01 6.691392770566269022e-01 8.888946037194265237e-01 2.765213418676577550e-01 2.527986818519978307e-01
1.501233404321854681e-03 2.312581375308622178e+00 7.171763099534269603e-01 6.691392228510411044e-01 8.888946008391198639e-01 2.765213409716389403e-01 2.527986810328481937e-01
1.528963767589454391e-03 2.312581180986406082e+00 7.171762496903413275e-01 6.691391666244288494e-01 8.888945978514218860e-01 2.765213400422121826e-01 2.527986801831570984e-01
1.557206358365940870e-03 2.312580979418988658e+00 7.171761871803781219e-01 6.691391083014370800e-01 8.888945947523289037e-01 2.765213390781324776e-01 2.527986793017852341e-01
1.585970638374491854e-03 2.312580770336239766e+00 7.171761223397650209e-01 6.691390478039034306e-01 8.888945915376873508e-01 2.765213380781073038e-01 2.527986783875515453e-01
1.615266244112587533e-03 2.312580553457954657e+00 7.171760550816053126e-01 6.691389850507523107e-01 8.888945882031890067e-01 2.765213370407966220e-01 2.527986774392313452e-01
