# w/T rho/wT^3(C=1) err_low err_up rho/wT^3(C=5) err_low err_up
1.557206358365940870e-03 3.598697114734031643e+00 1.079784789277130841e+00 1.092760052327333753e+00 1.393479911628475509e+00 4.185172397917302778e-01 4.149261854369084013e-01
1.585970638374491854e-03 3.598696789602407797e+00 1.079784690785051460e+00 1.092759953447137278e+00 1.393479906684331526e+00 4.185172382621070719e-01 4.149261839681528397e-01
1.615266244112587533e-03 3.598696452349974706e+00 1.079784588618502017e+00 1.092759850879819972e+00 1.393479901556623268e+00 4.185172366753141526e-01 4.149261824448557956e-01
1.645102990080392086e-03 3.598696102524884921e+00 1.079784482640395282e+00 1.092759744487892704e+00 1.393479896238542848e+00 4.185172350292143406e-01 4.149261808649931105e-01
1.675490872068770461e-03 3.598695739658447579e+00 1.079784372708531226e+00 1.092759634128737112e+00 1.393479890723028358e+00 4.185172333215887441e-01 4.149261792264669069e-01
1.706440070508038467e-03 3.598695363264500013e+00 1.079784258675403397e+00 1.092759519654421307e+00 1.393479885002757879e+00 4.185172315501374252e-01 4.149261775270991492e-01
1.737960953878569213e-03 3.598694972838758499e+00 1.079784140388003966e+00 1.092759400911492040e+00 1.393479879070137928e+00 4.185172297124739593e-01 4.149261757646325322e-01
1.770064082184409030e-03 3.598694567858138349e+00 1.079784017687613673e+00 1.092759277740778856e+00 1.393479872917292806e+00 4.185172278061215501e-01 4.149261739367260393e-01
1.802760210491037834e-03 3.598694147780058472e+00 1.079783890409594882e+00 1.092759149977169386e+00 1.393479866536055933e+00 4.185172258285111413e-01 4.149261720409522791e-01
1.836060292528496687e-03 3.598693712041709514e+00 1.079783758383165537e+00 1.092759017449403292e+00 1.393479859917958752e+00 4.185172237769791970e-01 4.149261700747917114e-01
1.869975484361062175e-03 3.598693260059306454e+00 1.079783621431174900e+00 1.092758879979826681e+00 1.393479853054217177e+00 4.185172216487593744e-01 4.149261680356339799e-01
1.904517148124707914e-03 3.598692791227295906e+00 1.079783479369857524e+00 1.092758737384166068e+00 1.393479845935724493e+00 4.185172194409856328e-01 4.149261659207705843e-01
1.939696855833600471e-03 3.598692304917558982e+00 1.079783332008597885e+00 1.092758589471270358e+00 1.393479838553034256e+00 4.185172171506811312e-01 4.149261637273928827e-01
1.975526393256919668e-03 3.598691800478557745e+00 1.079783179149666594e+00 1.092758436042867487e+00 1.393479830896351856e+00 4.185172147747594495e-01 4.149261614525880937e-01
